"Populatie";"Geslacht";"Persoonskenmerken";"Reismotieven";"Marges";"Perioden";"Regio's";"Gemiddeld per persoon per dag /Verplaatsingen  (aantal)";"Gemiddeld per persoon per dag /Afstand  (reizigerskilometers)";"Gemiddeld per persoon per dag /Reisduur (minuten)"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"";"";""
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2018";"Nederland";"    2.73";"   23.27";"   69.02"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2019";"Nederland";"    2.64";"   23.59";"   69.31"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2020";"Nederland";"    2.11";"   15.58";"   53.97"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Totaal";"Waarde";"2021";"Nederland";"    2.35";"   17.91";"   65.39"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.21";"    1.08";"    3.52"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.19";"       .";"    3.31"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.16";"    0.54";"    2.46"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 12 tot 18 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.19";"    0.76";"    3.10"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2018";"Nederland";"    2.74";"   42.52";"   84.38"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2019";"Nederland";"    2.63";"   41.57";"   81.05"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2020";"Nederland";"    2.23";"   26.80";"   61.92"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Totaal";"Waarde";"2021";"Nederland";"    2.36";"   31.46";"   71.67"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.66";"   10.72";"   18.62"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.57";"    9.36";"   16.53"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.45";"    5.43";"   10.70"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 18 tot 25 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.49";"    6.60";"   11.96"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2018";"Nederland";"    2.99";"   46.08";"   82.99"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2019";"Nederland";"    2.84";"   45.45";"   82.41"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2020";"Nederland";"    2.43";"   30.00";"   65.74"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Totaal";"Waarde";"2021";"Nederland";"    2.57";"   32.83";"   72.54"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.87";"   19.23";"   28.49"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.78";"   16.99";"   25.78"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.54";"   10.41";"   15.76"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 25 tot 35 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.53";"   10.01";"   14.92"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Totaal";"Waarde";"2018";"Nederland";"    3.20";"   43.59";"   79.45"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Totaal";"Waarde";"2019";"Nederland";"    3.15";"   44.10";"   80.70"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Totaal";"Waarde";"2020";"Nederland";"    2.77";"   30.84";"   66.76"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Totaal";"Waarde";"2021";"Nederland";"    2.85";"   30.84";"   71.68"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.81";"   16.89";"   24.74"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.76";"   16.07";"   23.77"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.53";"    9.74";"   14.44"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 35 tot 50 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.51";"    9.22";"   13.73"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2018";"Nederland";"    2.80";"   40.62";"   78.10"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2019";"Nederland";"    2.76";"   40.47";"   78.06"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2020";"Nederland";"    2.50";"   29.72";"   67.96"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Totaal";"Waarde";"2021";"Nederland";"    2.64";"   32.18";"   75.12"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.71";"   13.58";"   20.76"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.66";"   12.67";"   19.48"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.51";"    8.85";"   13.33"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 50 tot 65 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.51";"    8.80";"   13.22"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2018";"Nederland";"    2.38";"   30.50";"   73.16"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2019";"Nederland";"    2.31";"   29.66";"   72.79"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2020";"Nederland";"    2.11";"   20.60";"   61.80"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Totaal";"Waarde";"2021";"Nederland";"    2.31";"   24.23";"   72.46"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.20";"    2.65";"    4.73"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.19";"    2.59";"    4.39"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.14";"    1.87";"    3.16"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 65 tot 75 jaar";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.16";"    1.93";"    3.48"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 75 jaar of ouder";"Totaal";"Waarde";"2018";"Nederland";"    1.67";"   17.02";"   46.87"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 75 jaar of ouder";"Totaal";"Waarde";"2019";"Nederland";"    1.63";"   18.19";"   48.24"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 75 jaar of ouder";"Totaal";"Waarde";"2020";"Nederland";"    1.37";"   10.85";"   38.62"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 75 jaar of ouder";"Totaal";"Waarde";"2021";"Nederland";"    1.62";"   14.31";"   48.37"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 75 jaar of ouder";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.07";"    0.77";"    1.54"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 75 jaar of ouder";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.07";"    0.64";"    1.33"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 75 jaar of ouder";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.05";"    0.36";"    0.79"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd: 75 jaar of ouder";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.05";"    0.58";"    1.12"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Totaal";"Waarde";"2018";"Nederland";"    2.90";"   38.58";"   76.42"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Totaal";"Waarde";"2019";"Nederland";"    2.84";"   38.40";"   75.75"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Totaal";"Waarde";"2020";"Nederland";"    2.52";"   26.97";"   64.62"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Totaal";"Waarde";"2021";"Nederland";"    2.66";"   29.12";"   71.62"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.57";"   11.20";"   16.66"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.52";"   10.16";"   15.17"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.39";"    6.59";"    9.93"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: Nederland";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.39";"    6.48";"    9.81"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2018";"Nederland";"    2.57";"   31.63";"   72.66"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2019";"Nederland";"    2.50";"   31.42";"   73.25"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2020";"Nederland";"    2.02";"   20.10";"   57.53"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Totaal";"Waarde";"2021";"Nederland";"    2.24";"   23.49";"   66.57"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.49";"    9.06";"   15.46"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.48";"    9.27";"   16.16"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.30";"    4.69";"    8.42"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: westers";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.33";"    5.62";"    9.17"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2018";"Nederland";"    2.22";"   25.35";"   65.30"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2019";"Nederland";"    2.10";"   25.78";"   67.46"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2020";"Nederland";"    1.65";"   16.94";"   50.56"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Totaal";"Waarde";"2021";"Nederland";"    1.89";"   19.93";"   62.76"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.44";"    7.91";"   14.42"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.42";"    7.56";"   13.86"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.29";"    4.88";"    9.11"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Migratieachtergrond: niet-westers";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.29";"    4.64";"    8.71"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2018";"Nederland";"    2.45";"   26.40";"   67.79"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2019";"Nederland";"    2.30";"   25.09";"   67.00"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2020";"Nederland";"    1.88";"   16.47";"   51.82"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Totaal";"Waarde";"2021";"Nederland";"    2.07";"   18.80";"   61.56"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.36";"    5.67";"   10.75"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.33";"    4.86";"    9.57"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.22";"    2.74";"    5.79"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 1e 20%-groep";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.23";"    2.98";"    6.15"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2018";"Nederland";"    2.46";"   26.94";"   65.22"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2019";"Nederland";"    2.41";"   26.71";"   64.04"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2020";"Nederland";"    2.08";"   18.41";"   53.70"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Totaal";"Waarde";"2021";"Nederland";"    2.28";"   21.98";"   64.02"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.42";"    6.71";"   11.23"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.40";"    6.17";"   10.80"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.29";"    4.17";"    7.39"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 2e 20%-groep";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.31";"    4.60";"    7.90"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 3e 20%-groep";"Totaal";"Waarde";"2018";"Nederland";"    2.88";"   35.91";"   75.49"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 3e 20%-groep";"Totaal";"Waarde";"2019";"Nederland";"    2.80";"   35.74";"   74.16"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 3e 20%-groep";"Totaal";"Waarde";"2020";"Nederland";"    2.43";"   24.06";"   61.88"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 3e 20%-groep";"Totaal";"Waarde";"2021";"Nederland";"    2.59";"   27.18";"   70.39"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 3e 20%-groep";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.55";"   10.38";"   16.02"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 3e 20%-groep";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.52";"    9.47";"   15.09"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 3e 20%-groep";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.38";"    6.03";"    9.71"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 3e 20%-groep";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.39";"    6.28";"    9.86"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 4e 20%-groep";"Totaal";"Waarde";"2018";"Nederland";"    3.01";"   40.05";"   77.78"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 4e 20%-groep";"Totaal";"Waarde";"2019";"Nederland";"    2.95";"   39.61";"   78.23"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 4e 20%-groep";"Totaal";"Waarde";"2020";"Nederland";"    2.59";"   28.29";"   66.79"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 4e 20%-groep";"Totaal";"Waarde";"2021";"Nederland";"    2.73";"   30.20";"   73.14"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 4e 20%-groep";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.64";"   12.24";"   18.56"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 4e 20%-groep";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.58";"   11.40";"   16.97"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 4e 20%-groep";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.45";"    7.46";"   11.40"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 4e 20%-groep";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.45";"    7.38";"   11.01"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 5e 20%-groep";"Totaal";"Waarde";"2018";"Nederland";"    3.00";"   46.89";"   82.55"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 5e 20%-groep";"Totaal";"Waarde";"2019";"Nederland";"    2.95";"   47.61";"   83.58"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 5e 20%-groep";"Totaal";"Waarde";"2020";"Nederland";"    2.64";"   33.14";"   70.45"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 5e 20%-groep";"Totaal";"Waarde";"2021";"Nederland";"    2.71";"   34.11";"   75.67"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 5e 20%-groep";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.69";"   15.46";"   21.82"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 5e 20%-groep";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.63";"   14.36";"   20.17"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 5e 20%-groep";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.45";"    8.85";"   12.33"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Gestandaardiseerd inkomen: 5e 20%-groep";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.43";"    8.04";"   11.51"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"OV-Studentenkaart: weekabonnement";"Totaal";"Waarde";"2018";"Nederland";"    2.76";"   45.89";"   94.29"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"OV-Studentenkaart: weekabonnement";"Totaal";"Waarde";"2019";"Nederland";"    2.68";"   45.89";"   93.42"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"OV-Studentenkaart: weekabonnement";"Totaal";"Waarde";"2020";"Nederland";"    2.14";"   26.55";"   62.44"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"OV-Studentenkaart: weekabonnement";"Totaal";"Waarde";"2021";"Nederland";"    2.34";"   32.20";"   78.38"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"OV-Studentenkaart: weekabonnement";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.47";"    6.19";"   12.97"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"OV-Studentenkaart: weekabonnement";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.40";"    5.24";"   11.45"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"OV-Studentenkaart: weekabonnement";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.35";"    2.84";"    7.32"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"OV-Studentenkaart: weekabonnement";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.37";"    3.70";"    8.52"
