"Geslacht";"Leeftijd";"Vervoerwijzen";"Reismotieven";"Marges";"Perioden";"Ritten per persoon per dag (gemiddeld) (aantal)";"Afgelegde afstand per rit (gemiddeld) (km)"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2003*";0,53;14,5
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2004*";0,55;14,39
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2005*";0,54;14,62
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2006*";0,56;14,78
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2007*";0,55;15,05
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2008*";0,57;14,73
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2009*";0,56;14,9
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2010*";0,58;14,95
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2011*";0,56;15,15
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2012*";0,55;15,32
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2013*";0,56;15,35
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2014*";0,56;15,46
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2015*";0,55;15,58
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2016*";0,55;15,62
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2017*";0,56;15,74
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2018*";0,58;15,68
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2019*";0,55;15,76
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2020*";0,37;14,53
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"1999*";0,65;4,46
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2000*";0,62;4,49
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2001*";0,63;4,48
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2002*";0,64;4,51
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2003*";0,63;4,56
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2004*";0,64;4,54
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2005*";0,62;4,55
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2006*";0,62;4,53
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2007*";0,59;4,62
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2008*";0,59;4,49
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2009*";0,59;4,57
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2010*";0,61;4,58
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2011*";0,58;4,6
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2012*";0,59;4,55
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2013*";0,59;4,55
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2014*";0,59;4,56
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2015*";0,57;4,65
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2016*";0,56;4,59
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2017*";0,56;4,66
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2018*";0,56;4,66
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2019*";0,55;4,77
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Winkelen, boodschappen doen";"Waarde";"2020*";0,53;3,9
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"1999*";0,36;5,47
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2000*";0,35;5,55
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2001*";0,35;5,52
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2002*";0,35;5,53
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2003*";0,35;5,52
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2004*";0,36;5,46
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2005*";0,35;5,5
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2006*";0,36;5,5
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2007*";0,36;5,56
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2008*";0,35;5,55
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2009*";0,35;5,56
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2010*";0,36;5,51
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2011*";0,36;5,58
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2012*";0,35;5,7
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2013*";0,35;5,69
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2014*";0,34;5,84
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2015*";0,35;5,92
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2016*";0,35;5,94
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2017*";0,34;5,96
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018*";0,33;5,95
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019*";0,33;5,95
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020*";0,21;5,36
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"1999*";1,63;11,35
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2000*";1,6;11,32
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2001*";1,57;11,33
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2002*";1,56;11,36
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2003*";1,58;11,38
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2004*";1,55;11,5
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2005*";1,53;11,44
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2006*";1,54;11,35
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2007*";1,53;11,35
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2008*";1,49;11,28
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2009*";1,54;11,21
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2010*";1,5;11,25
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2011*";1,45;11,51
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2012*";1,47;11,38
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2013*";1,48;11,44
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2014*";1,49;11,38
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2015*";1,42;11,54
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2016*";1,39;11,53
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2017*";1,35;11,62
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2018*";1,41;11,53
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2019*";1,39;11,64
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Overige reismotieven";"Waarde";"2020*";1,23;9,71
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"1999*";0,93;15,9
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2000*";0,92;15,98
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2001*";0,91;16,06
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2002*";0,92;16,05
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2003*";0,92;16,28
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2004*";0,92;16,38
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2005*";0,9;16,67
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2006*";0,9;16,85
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2007*";0,9;16,99
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2008*";0,89;16,96
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2009*";0,89;17,12
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2010*";0,89;17,2
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2011*";0,87;17,57
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2012*";0,88;17,51
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2013*";0,88;17,64
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2014*";0,87;17,76
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2015*";0,85;17,89
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2016*";0,84;17,95
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2017*";0,84;18,09
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2018*";0,86;18,26
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2019*";0,84;18,27
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Totaal";"Waarde";"2020*";0,71;15,85
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"1999*";0,23;20,47
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2000*";0,23;20,7
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2001*";0,23;20,93
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2002*";0,23;21,01
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2003*";0,23;21,23
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2004*";0,24;21,51
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2005*";0,24;22,06
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2006*";0,25;22,28
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2007*";0,25;22,43
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2008*";0,25;22,46
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2009*";0,25;22,79
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2010*";0,26;23,04
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2011*";0,25;23,34
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2012*";0,25;23,48
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2013*";0,25;23,77
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2014*";0,25;24,07
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2015*";0,25;24,29
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2016*";0,25;24,44
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2017*";0,25;24,67
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2018*";0,26;24,87
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2019*";0,25;25,12
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Van en naar het werk";"Waarde";"2020*";0,19;22,3
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"1999*";0,19;6,71
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2000*";0,19;6,74
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2001*";0,19;6,75
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2002*";0,19;6,73
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2003*";0,19;6,83
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2004*";0,19;6,85
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2005*";0,19;6,88
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2006*";0,18;6,91
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2007*";0,18;6,97
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2008*";0,18;6,91
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2009*";0,18;7,02
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2010*";0,18;7,09
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2011*";0,17;7,17
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2012*";0,18;7,11
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2013*";0,17;7,16
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2014*";0,18;7,22
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2015*";0,17;7,24
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2016*";0,17;7,22
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2017*";0,17;7,36
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2018*";0,17;7,35
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2019*";0,17;7,41
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Winkelen, boodschappen doen";"Waarde";"2020*";0,17;6,32
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"1999*";0,02;16,33
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2000*";0,02;16,55
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2001*";0,02;16,72
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2002*";0,02;17,02
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2003*";0,02;17,14
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2004*";0,02;17,2
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2005*";0,02;17,4
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2006*";0,02;17,71
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2007*";0,02;17,86
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2008*";0,02;18
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2009*";0,02;18,23
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2010*";0,02;18,3
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2011*";0,02;18,67
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2012*";0,02;18,93
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2013*";0,02;19,21
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2014*";0,02;19,74
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2015*";0,02;19,85
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2016*";0,02;20,26
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2017*";0,02;20,65
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2018*";0,02;20,66
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2019*";0,02;20,99
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Onderwijs volgen, cursus, kinderopvang";"Waarde";"2020*";0,01;20,48
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"1999*";0,48;17,32
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2000*";0,48;17,31
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2001*";0,47;17,38
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2002*";0,47;17,38
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2003*";0,47;17,61
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2004*";0,47;17,64
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2005*";0,45;17,84
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2006*";0,45;17,88
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2007*";0,45;17,93
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2008*";0,44;17,75
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2009*";0,45;17,88
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2010*";0,44;17,88
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2011*";0,43;18,29
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2012*";0,43;18,14
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2013*";0,44;18,21
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2014*";0,43;18,28
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2015*";0,41;18,44
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2016*";0,41;18,34
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2017*";0,4;18,35
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2018*";0,41;18,52
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2019*";0,41;18,59
"Totaal mannen en vrouwen";"Totaal";"Auto (bestuurder)";"Overige reismotieven";"Waarde";"2020*";0,34;17,07
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"1999*";0,5;15,89
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2000*";0,48;15,89
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2001*";0,48;15,81
"Totaal mannen en vrouwen";"Totaal";"Auto (passagier)";"Totaal";"Waarde";"2002*";0,47;15,84
